index,split
265,train
266,train
267,train
268,train
269,test
270,test
271,train
272,train
273,train
274,train
275,train
276,train
277,train
278,train
279,train
280,valid
281,train
282,test
283,train
284,train
285,train
286,train
287,train
288,valid
289,train
290,train
291,train
292,train
293,valid
294,train
295,train
296,train
297,train
298,valid
299,test
300,train
301,train
302,train
303,test
304,train
305,train
306,valid
307,train
308,train
309,train
310,train
311,train
312,train
313,train
314,train
315,train
316,train
317,train
318,train
319,train
320,train
321,train
322,train
323,train
324,train
325,train
326,train
327,train
328,train
329,train
330,train
331,train
332,train
333,train
334,train
335,valid
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,train
345,train
346,train
347,train
348,train
349,train
350,train
351,valid
352,train
353,train
354,test
355,train
356,train
357,train
358,train
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,valid
367,train
368,valid
369,train
370,train
371,train
372,train
373,train
374,test
375,train
376,train
377,train
378,train
379,train
380,valid
381,train
382,train
383,train
384,train
385,train
386,train
387,test
388,train
389,train
390,train
391,train
392,train
393,train
394,train
395,valid
396,train
397,train
398,train
399,train
400,train
401,test
402,train
403,train
404,train
405,train
406,test
407,train
408,test
409,train
410,train
411,valid
412,train
413,train
414,train
415,test
416,train
417,valid
418,test
419,train
420,train
421,train
422,train
423,train
424,train
425,train
426,train
427,train
428,train
429,train
430,train
431,train
432,train
433,train
434,train
435,train
436,train
437,train
438,train
439,train
440,train
441,test
442,train
443,train
444,test
445,train
446,train
447,train
448,train
449,train
450,train
451,train
452,train
453,train
454,train
455,train
456,valid
457,train
458,test
459,train
460,train
461,train
462,valid
463,train
464,train
465,train
466,valid
467,train
468,train
469,train
470,valid
471,train
472,test
473,train
474,valid
475,test
476,valid
477,train
478,train
479,train
480,train
481,valid
482,test
483,train
484,valid
485,valid
486,train
487,train
488,train
489,train
490,train
491,train
492,train
493,train
494,valid
495,train
496,train
497,train
498,train
499,valid
500,train
501,train
502,train
503,train
504,train
505,train
506,test
507,train
508,train
509,train
510,valid
511,train
512,test
513,valid
514,valid
515,train
516,train
517,train
518,test
519,train
520,train
521,valid
522,train
523,test
524,train
525,test
526,train
527,train
528,train
529,train
530,train
531,test
532,train
533,train
534,train
535,train
536,train
537,train
538,train
539,train
540,train
541,train
542,train
543,train
544,valid
545,valid
546,train
547,train
548,test
549,train
550,test
551,train
552,train
553,valid
554,train
555,train
556,train
557,train
558,train
559,train
560,train
561,train
562,train
563,train
564,train
565,train
566,train
567,train
568,train
569,train
570,train
571,train
572,train
573,train
574,train
575,test
576,train
577,train
578,train
579,valid
580,valid
581,train
582,train
583,train
584,test
585,train
586,train
587,train
588,train
589,train
590,train
591,train
592,train
593,train
594,train
595,train
596,train
597,train
598,train
599,train
600,train
601,test
602,train
603,train
604,train
605,train
606,valid
607,train
608,test
609,valid
610,train
611,train
612,test
613,valid
614,train
615,train
616,train
617,valid
618,train
619,train
620,train
621,train
622,train
623,train
624,train
625,train
626,test
627,train
628,train
629,train
630,train
631,train
632,test
633,test
634,valid
635,train
636,train
637,train
638,train
639,train
640,train
641,valid
642,train
643,train
644,test
645,train
646,train
647,train
648,train
649,train
650,valid
651,train
652,test
653,train
654,valid
655,train
656,valid
657,train
658,train
659,test
660,train
661,train
662,train
663,train
664,train
665,test
666,train
667,train
668,test
669,train
670,valid
671,train
672,train
673,train
674,train
675,train
676,train
677,train
678,train
679,valid
680,train
681,train
682,train
683,train
684,train
685,train
686,train
687,train
688,train
689,test
690,valid
691,train
692,train
693,train
694,train
695,train
696,train
697,train
698,train
699,train
700,train
701,valid
702,train
703,train
704,train
705,train
706,train
707,train
708,train
709,train
710,train
711,train
712,train
713,valid
714,train
715,train
716,train
717,test
718,train
719,valid
720,train
721,valid
722,train
723,train
724,train
725,train
726,train
727,train
728,train
729,train
730,test
731,train
732,train
733,train
734,train
735,train
736,valid
737,train
738,valid
739,train
740,train
741,train
742,valid
743,train
744,train
745,valid
746,train
747,train
748,train
749,train
750,train
751,test
752,train
753,train
754,valid
755,train
756,train
757,train
758,train
759,test
760,test
761,train
762,train
763,train
764,train
765,train
766,train
767,train
768,train
769,train
770,train
771,train
772,test
773,train
774,train
775,train
776,train
777,test
778,train
779,train
780,train
781,train
782,train
783,valid
784,train
785,train
786,train
787,train
788,train
789,test
790,train
791,train
792,valid
793,test
794,train
795,train
796,train
797,train
798,train
799,train
800,train
801,train
802,valid
803,train
804,valid
805,train
806,valid
807,train
808,train
809,test
810,test
811,train
812,test
813,train
814,train
815,train
816,train
817,train
818,train
819,train
820,train
821,train
822,train
823,train
824,test
825,test
826,train
827,train
828,train
829,train
830,train
831,train
832,valid
833,test
834,valid
835,train
836,train
837,train
838,train
839,train
840,train
841,valid
842,valid
843,train
844,test
845,test
846,train
847,train
848,train
849,valid
850,valid
851,train
852,valid
853,train
854,train
855,train
856,train
857,train
858,test
859,test
860,valid
861,train
862,train
863,train
864,valid
865,train
866,train
867,test
868,train
869,train
870,train
871,train
872,train
873,train
874,train
875,train
876,train
877,train
878,train
879,train
880,train
881,train
882,train
883,train
884,valid
885,train
886,train
887,train
888,train
889,train
890,train
891,train
892,train
893,train
894,train
895,train
896,train
897,train
898,train
899,train
900,valid
901,train
902,train
903,train
904,train
905,valid
906,train
907,train
908,train
909,train
910,train
911,test
912,train
913,train
914,train
915,train
916,train
917,train
918,train
919,train
920,train
921,train
922,train
923,test
924,train
925,train
926,train
927,test
928,train
929,train
930,test
931,train
932,train
933,train
934,train
935,train
936,train
937,test
938,train
939,train
940,train
941,train
942,test
943,train
944,train
945,train
946,train
947,train
948,train
949,train
950,train
951,train
952,train
953,train
954,test
955,train
956,train
957,train
958,train
959,train
960,train
961,valid
962,train
963,train
964,train
965,train
966,train
967,train
968,train
969,train
970,train
971,train
972,train
973,train
974,train
975,train
976,train
977,train
978,train
979,train
980,train
981,train
982,train
983,train
984,train
985,train
986,valid
987,train
988,valid
989,test
990,train
991,train
992,train
993,test
994,train
995,train
996,train
997,train
998,train
999,train
1000,train
1001,train
1002,train
1003,valid
1004,train
1005,test
1006,train
1007,train
1008,train
1009,train
1010,train
1011,train
1012,train
1013,train
1014,train
1015,train
1016,train
1017,test
1018,train
1019,valid
1020,train
1021,train
1022,train
1023,train
1024,train
1025,train
1026,train
1027,train
1028,train
1029,train
1030,train
1031,train
1032,train
1033,train
1034,train
1035,train
1036,train
1037,train
1038,test
1039,train
1040,train
1041,train
1042,test
1043,train
1044,valid
1045,train
1046,train
1047,train
1048,train
1049,train
1050,train
1051,train
1052,train
1053,train
1054,valid
1055,train
1056,test
1057,valid
1058,train
1059,train
1060,train
1061,train
1062,valid
1063,train
1064,valid
1065,train
1066,valid
1067,train
1068,test
1069,train
1070,test
1071,train
1072,train
1073,test
1074,train
1075,train
1076,train
1077,train
1078,train
1079,train
1080,train
1081,train
1082,train
1083,train
1084,train
1085,train
1086,valid
1087,train
1088,test
1089,train
1090,test
1091,valid
1092,valid
1093,train
1094,train
1095,train
1096,train
1097,test
1098,train
1099,valid
1100,test
1101,train
1102,train
1103,train
1104,train
1105,train
1106,train
1107,train
1108,train
1109,train
1110,test
1111,train
1112,train
1113,train
1114,train
1115,train
1116,test
1117,train
1118,train
1119,train
1120,valid
1121,train
1122,train
1123,train
1124,train
1125,train
1126,train
1127,train
1128,train
1129,train
1130,train
1131,train
1132,train
1133,train
1134,train
1135,train
1136,train
1137,train
1138,valid
1139,train
1140,train
1141,train
1142,train
1143,test
1144,valid
1145,valid
1146,train
1147,train
1148,train
1149,train
1150,train
1151,valid
1152,train
1153,train
1154,train
1155,train
1156,train
1157,train
1158,valid
1159,train
1160,train
1161,train
1162,train
1163,train
1164,train
1165,train
1166,train
1167,train
1168,train
1169,train
1170,train
1171,train
1172,train
1173,train
1174,train
1175,train
1176,train
1177,train
1178,test
1179,train
1180,train
1181,train
1182,test
1183,train
1184,train
1185,train
1186,train
1187,valid
1188,train
1189,train
1190,train
1191,train
1192,train
1193,train
1194,train
1195,train
1196,train
1197,train
1198,train
1199,valid
1200,valid
1201,test
1202,train
1203,test
1204,train
1205,train
1206,train
1207,train
1208,train
1209,train
1210,train
1211,train
1212,train
1213,train
1214,train
1215,train
1216,train
1217,train
1218,valid
1219,train
1220,valid
1221,test
1222,test
1223,train
1224,train
1225,test
1226,train
1227,train
1228,train
1229,train
1230,train
1231,valid
1232,train
1233,train
1234,test
1235,train
1236,train
1237,train
1238,train
1239,train
1240,valid
1241,train
1242,train
1243,train
1244,train
1245,valid
1246,test
1247,train
1248,train
1249,test
1250,train
1251,train
1252,train
1253,valid
1254,train
1255,train
1256,train
1257,train
1258,train
1259,train
1260,train
1261,train
1262,train
1263,train
1264,valid
1265,test
1266,train
1267,test
1268,valid
1269,train
1270,train
1271,train
1272,train
1273,train
1274,train
1275,train
1276,train
1277,train
1278,train
1279,train
1280,test
1281,train
1282,valid
1283,train
1284,valid
1285,train
1286,train
1287,test
1288,train
1289,train
1290,train
1291,test
1292,train
1293,train
1294,train
1295,train
1296,train
1297,test
1298,test
1299,train
1300,train
1301,train
1302,train
1303,train
1304,valid
1305,test
1306,train
1307,test
1308,train
1309,train
1310,train
1311,train
1312,train
1313,train
1314,train
1315,valid
1316,train
1317,train
1318,train
1319,train
1320,train
1321,train
1322,test
1323,test
1324,train
1325,train
1326,train
1327,train
1328,train
1329,train
1330,train
1331,train
1332,train
1333,train
1334,test
1335,test
1336,train
1337,train
1338,train
1339,valid
1340,train
1341,train
1342,train
1343,train
1344,valid
1345,train
1346,train
1347,train
1348,train
1349,valid
1350,train
1351,valid
1352,valid
1353,train
1354,train
1355,valid
1356,train
1357,test
1358,train
1359,train
1360,train
1361,test
1362,train
1363,test
1364,train
1365,train
1366,test
1367,train
1368,train
1369,test
1370,train
1371,train
1372,train
1373,test
1374,train
1375,train
1376,test
1377,train
1378,test
1379,test
1380,train
1381,train
1382,train
1383,train
1384,train
1385,test
1386,train
1387,train
1388,train
1389,train
1390,train
1391,train
1392,train
1393,test
1394,train
1395,train
1396,train
1397,train
1398,valid
1399,train
1400,valid
1401,valid
1402,test
1403,train
1404,train
1405,valid
1406,train
1407,test
1408,train
1409,train
1410,train
1411,train
1412,train
1413,train
1414,train
1415,valid
1416,valid
1417,train
1418,train
1419,train
1420,valid
1421,valid
1422,train
1423,train
1424,test
1425,test
1426,train
1427,train
1428,train
1429,train
1430,valid
1431,train
1432,test
1433,train
1434,test
1435,train
1436,train
1437,train
1438,test
1439,test
1440,train
1441,train
1442,train
1443,valid
1444,train
1445,train
1446,train
1447,test
1448,train
1449,train
1450,train
1451,train
1452,valid
1453,train
1454,train
1455,train
1456,train
1457,train
1458,train
1459,train
1460,train
1461,train
1462,train
1463,train
1464,train
1465,train
1466,train
1467,train
1468,train
1469,train
1470,train
1471,test
1472,train
1473,train
1474,train
1475,test
1476,test
1477,valid
1478,train
1479,train
1480,train
1481,valid
1482,train
1483,train
1484,train
1485,train
1486,train
1487,train
1488,valid
1489,train
1490,train
1491,valid
1492,train
1493,train
1494,train
1495,train
1496,train
1497,train
1498,valid
1499,train
1500,train
1501,test
1502,train
1503,train
1504,valid
1505,valid
1506,train
1507,train
1508,train
1509,train
1510,train
1511,train
1512,train
1513,train
1514,valid
1515,train
1516,train
1517,train
1518,train
1519,train
1520,train
1521,train
1522,train
1523,train
1524,train
1525,test
1526,train
1527,train
1528,train
1529,train
1530,train
1531,test
1532,train
1533,train
1534,train
1535,train
1536,train
1537,test
1538,train
1539,train
1540,train
1541,train
1542,train
1543,train
1544,train
1545,test
1546,valid
1547,train
1548,train
1549,test
1550,train
1551,train
1552,valid
1553,valid
1554,train
1555,train
1556,train
1557,test
1558,train
1559,train
1560,test
1561,train
1562,test
1563,train
1564,train
1565,train
1566,train
1567,train
1568,train
1569,train
1570,train
1571,train
1572,train
1573,train
1574,train
1575,valid
1576,train
1577,train
1578,train
1579,train
1580,train
1581,test
1582,train
1583,valid
1584,train
1585,train
1586,test
1587,train
1588,train
1589,train
1590,train
1591,test
1592,train
1593,valid
1594,valid
1595,train
1596,train
1597,valid
1598,train
1599,train
1600,train
1601,valid
1602,valid
1603,train
1604,train
1605,train
1606,train
1607,test
1608,train
1609,valid
1610,train
1611,train
1612,train
1613,train
1614,valid
1615,train
1616,train
1617,train
1618,train
1619,train
1620,valid
1621,test
1622,train
1623,train
1624,train
1625,train
1626,train
1627,train
1628,train
1629,train
1630,train
1631,train
1632,train
1633,train
1634,test
1635,train
1636,valid
1637,train
1638,train
1639,train
1640,train
1641,train
1642,train
1643,train
1644,train
1645,test
1646,train
1647,train
1648,train
1649,train
1650,train
1651,test
1652,test
1653,valid
1654,valid
1655,valid
1656,train
1657,train
1658,train
1659,train
1660,train
1661,train
1662,train
1663,test
1664,train
1665,train
1666,test
1667,train
1668,test
1669,train
1670,train
1671,train
1672,valid
1673,train
1674,test
1675,train
1676,train
1677,valid
1678,train
1679,train
1680,train
1681,test
1682,valid
1683,train
1684,train
1685,train
1686,train
1687,train
1688,train
1689,train
1690,train
1691,train
1692,train
1693,train
1694,train
1695,valid
1696,train
1697,train
1698,train
1699,train
1700,train
1701,test
1702,train
1703,train
1704,train
1705,train
1706,train
1707,train
1708,train
1709,test
1710,train
1711,train
1712,train
1713,train
1714,train
1715,train
1716,train
1717,train
1718,train
1719,train
1720,train
1721,test
1722,train
1723,train
1724,train
1725,train
1726,test
1727,train
1728,train
1729,train
1730,train
1731,train
1732,train
1733,train
1734,valid
1735,train
1736,train
1737,train
1738,train
1739,valid
1740,valid
1741,train
1742,train
1743,train
1744,train
1745,train
1746,train
1747,train
1748,train
1749,train
1750,valid
1751,train
1752,train
1753,train
1754,train
1755,train
1756,train
1757,train
1758,test
1759,train
1760,train
1761,train
1762,test
1763,train
1764,train
1765,train
1766,train
1767,train
1768,train
1769,train
1770,train
1771,train
1772,train
1773,train
1774,train
1775,train
1776,train
1777,train
1778,train
1779,train
1780,train
1781,train
1782,train
1783,train
1784,train
1785,train
1786,test
1787,train
1788,test
1789,train
1790,train
1791,train
1792,train
1793,train
1794,train
1795,train
1796,train
1797,train
1798,train
1799,train
1800,test
1801,train
1802,train
1803,train
1804,train
1805,train
1806,train
1807,train
1808,train
1809,train
1810,train
1811,valid
1812,train
1813,test
1814,train
1815,train
1816,train
1817,train
1818,train
1819,train
1820,train
1821,train
1822,valid
1823,train
1824,train
1825,train
1826,test
1827,train
1828,train
1829,test
1830,train
1831,train
1832,train
1833,train
1834,train
1835,train
1836,test
1837,train
1838,test
1839,train
1840,valid
1841,valid
1842,train
1843,train
1844,train
1845,train
1846,train
1847,train
1848,train
1849,train
1850,train
1851,train
1852,test
1853,train
1854,train
1855,test
1856,train
1857,train
1858,train
1859,train
1860,train
1861,train
1862,valid
1863,test
1864,train
1865,valid
1866,train
1867,train
1868,train
1869,train
1870,train
1871,train
1872,train
1873,train
1874,train
1875,train
1876,valid
1877,train
1878,train
1879,train
1880,train
1881,train
1882,train
1883,train
1884,test
1885,test
1886,train
1887,valid
1888,train
1889,train
1890,train
1891,train
1892,train
1893,train
1894,train
1895,train
1896,train
1897,train
1898,train
1899,train
1900,train
1901,train
1902,train
1903,train
1904,test
1905,train
1906,train
1907,valid
1908,test
1909,test
1910,train
1911,train
1912,train
1913,train
1914,train
1915,train
1916,train
1917,test
1918,train
1919,train
1920,train
1921,valid
1922,train
1923,train
1924,train
1925,train
1926,train
1927,train
1928,train
1929,train
1930,train
1931,train
1932,train
1933,train
1934,valid
1935,train
1936,train
1937,test
1938,train
1939,train
1940,train
1941,train
1942,train
1943,train
1944,test
1945,train
1946,train
1947,train
1948,train
1949,train
1950,train
1951,train
1952,train
1953,train
1954,train
1955,train
1956,train
1957,train
1958,train
1959,train
1960,train
1961,train
1962,train
1963,train
1964,train
1965,train
1966,train
1967,train
1968,test
1969,train
1970,train
1971,train
1972,train
1973,train
1974,train
1975,train
1976,valid
1977,valid
1978,train
1979,train
1980,train
1981,test
1982,test
1983,train
1984,valid
1985,train
1986,train
1987,train
1988,train
1989,train
1990,train
1991,train
1992,train
1993,train
1994,train
1995,train
1996,train
1997,train
1998,train
1999,valid
2000,train
2001,train
2002,train
2003,train
2004,valid
2005,train
2006,train
2007,train
2008,train
2009,train
2010,train
2011,train
2012,train
2013,train
2014,train
2015,train
2016,train
2017,train
2018,train
2019,train
2020,test
2021,train
2022,test
2023,valid
2024,train
2025,train
2026,train
2027,train
2028,train
2029,test
2030,train
2031,train
2032,test
2033,train
2034,test
2035,train
2036,train
2037,train
2038,train
2039,train
2040,train
2041,valid
2042,valid
2043,test
2044,train
2045,test
2046,train
2047,test
2048,train
2049,test
2050,train
2051,train
2052,train
2053,train
2054,train
2055,valid
2056,valid
2057,valid
2058,test
2059,train
2060,train
2061,train
2062,train
2063,test
2064,train
2065,train
2066,valid
2067,train
2068,train
2069,train
2070,test
2071,valid
2072,train
2073,valid
2074,train
2075,train
2076,test
2077,train
2078,train
2079,valid
2080,test
2081,test
2082,train
2083,train
2084,test
2085,valid
2086,train
2087,train
2088,train
2089,train
2090,train
2091,train
2092,train
2093,train
2094,train
2095,train
2096,train
2097,train
2098,train
2099,train
2100,test
2101,train
2102,train
2103,valid
2104,train
2105,test
2106,train
2107,train
2108,train
2109,valid
2110,valid
2111,train
2112,train
2113,train
2114,train
2115,train
2116,train
2117,train
2118,test
2119,train
2120,train
2121,train
2122,train
2123,train
2124,train
2125,train
2126,train
2127,train
2128,train
2129,test
2130,train
2131,train
2132,train
2133,train
2134,valid
2135,train
2136,train
2137,valid
2138,train
2139,train
2140,train
2141,train
2142,valid
2143,valid
2144,valid
2145,train
2146,train
2147,train
2148,train
2149,train
2150,train
2151,train
2152,train
2153,train
2154,train
2155,test
2156,valid
2157,valid
2158,train
2159,train
2160,test
2161,train
2162,train
2163,valid
2164,train
2165,train
2166,train
2167,train
2168,valid
2169,train
2170,test
2171,test
2172,train
2173,train
2174,train
2175,train
2176,train
2177,train
2178,train
2179,train
2180,train
2181,train
2182,train
2183,train
2184,train
2185,train
2186,train
2187,valid
2188,train
2189,train
2190,valid
2191,train
2192,train
2193,train
2194,train
2195,train
2196,train
2197,valid
2198,train
2199,valid
2200,train
2201,train
2202,test
2203,train
2204,test
2205,valid
2206,train
2207,test
2208,train
2209,train
2210,train
2211,train
2212,test
2213,train
2214,test
2215,train
2216,train
2217,train
2218,train
2219,train
2220,valid
2221,train
2222,train
2223,train
2224,train
2225,train
2226,train
2227,train
2228,train
2229,train
2230,train
2231,train
2232,train
2233,train
2234,train
2235,train
2236,train
2237,train
2238,train
2239,train
2240,train
2241,train
2242,train
2243,train
2244,train
2245,train
2246,valid
2247,test
2248,train
2249,train
2250,train
2251,valid
2252,train
2253,train
2254,train
2255,train
2256,train
2257,valid
2258,train
2259,train
2260,train
2261,train
2262,train
2263,train
2264,train
2265,test
2266,test
2267,train
2268,train
2269,train
2270,train
2271,train
2272,train
2273,train
2274,train
2275,train
2276,train
2277,test
2278,train
2279,train
2280,valid
2281,train
2282,train
2283,train
2284,train
2285,train
2286,test
2287,train
2288,train
2289,train
2290,test
2291,train
2292,train
2293,train
2294,train
2295,train
2296,train
2297,train
2298,train
2299,test
2300,train
2301,train
2302,train
2303,train
2304,train
2305,test
2306,train
2307,train
2308,train
2309,test
2310,train
2311,train
2312,train
2313,train
2314,train
2315,train
2316,test
2317,train
2318,train
2319,train
2320,train
2321,train
2322,train
2323,train
2324,valid
2325,train
2326,train
2327,train
2328,train
2329,train
2330,train
2331,train
2332,test
2333,valid
2334,valid
2335,train
2336,train
2337,train
2338,train
2339,train
2340,train
2341,train
2342,train
2343,train
2344,train
2345,train
2346,train
2347,train
2348,train
2349,test
2350,test
2351,valid
2352,train
2353,test
2354,train
2355,valid
2356,train
2357,test
2358,train
2359,train
2360,train
2361,test
2362,test
2363,train
2364,train
2365,train
2366,train
2367,train
2368,train
2369,train
2370,valid
2371,train
2372,train
2373,valid
2374,valid
2375,train
2376,train
2377,train
2378,valid
2379,valid
2380,train
2381,train
2382,train
2383,train
2384,train
2385,train
2386,train
2387,train
2388,train
2389,train
2390,train
2391,train
2392,train
2393,train
2394,train
2395,train
2396,train
2397,train
2398,train
2399,train
2400,test
2401,test
2402,train
2403,train
2404,valid
2405,test
2406,train
2407,train
2408,test
2409,train
2410,train
2411,train
2412,train
2413,test
2414,train
2415,valid
2416,train
2417,test
2418,valid
2419,train
2420,train
2421,valid
2422,train
2423,test
2424,train
2425,train
2426,train
2427,valid
2428,train
2429,train
2430,train
2431,train
2432,train
2433,train
2434,train
2435,train
2436,test
2437,train
2438,train
2439,train
2440,train
2441,train
2442,train
2443,train
2444,train
2445,train
2446,test
2447,train
2448,train
2449,train
2450,valid
2451,train
2452,train
2453,train
2454,train
2455,train
2456,train
2457,valid
2458,train
2459,train
2460,train
2461,train
2462,train
2463,train
2464,train
2465,test
2466,train
2467,train
2468,train
2469,train
2470,train
2471,train
2472,train
2473,train
2474,train
2475,train
2476,train
2477,train
2478,test
2479,train
2480,train
2481,valid
2482,train
2483,train
2484,train
2485,train
2486,train
2487,test
2488,valid
2489,valid
2490,test
2491,train
2492,train
2493,train
2494,test
2495,test
2496,train
2497,train
2498,train
2499,test
2500,train
2501,train
2502,train
2503,train
2504,train
2505,train
2506,train
2507,train
2508,train
2509,train
2510,train
2511,train
2512,valid
2513,test
2514,test
2515,train
2516,train
2517,train
2518,train
2519,test
2520,train
2521,valid
2522,train
2523,train
2524,train
2525,train
2526,train
2527,train
2528,train
2529,train
2530,train
2531,train
2532,valid
2533,train
2534,train
2535,train
2536,train
2537,train
2538,train
2539,train
2540,train
2541,train
2542,train
2543,test
2544,train
2545,train
2546,train
2547,train
2548,valid
2549,train
2550,train
2551,train
2552,train
2553,train
2554,test
2555,train
2556,train
2557,train
2558,train
2559,train
2560,train
2561,train
2562,train
2563,valid
2564,valid
2565,train
2566,valid
2567,train
2568,test
2569,valid
2570,train
2571,train
2572,train
2573,train
2574,train
2575,valid
2576,train
2577,train
2578,train
2579,train
2580,train
2581,train
2582,train
2583,train
2584,train
2585,train
2586,train
2587,train
2588,train
2589,train
2590,valid
2591,train
2592,train
2593,train
2594,train
2595,train
2596,train
2597,train
2598,valid
2599,valid
2600,train
2601,train
2602,train
2603,test
2604,test
2605,train
2606,train
2607,train
2608,train
2609,valid
2610,train
2611,train
2612,train
2613,valid
2614,train
2615,valid
2616,train
2617,train
2618,train
2619,train
2620,train
2621,train
2622,train
2623,train
2624,train
2625,train
2626,train
2627,train
2628,train
2629,train
2630,valid
2631,train
2632,train
2633,train
2634,train
2635,valid
2636,train
2637,train
2638,valid
2639,train
2640,train
2641,train
2642,train
2643,train
2644,train
2645,train
2646,test
2647,train
2648,train
2649,train
2650,valid
2651,test
2652,test
2653,train
2654,train
2655,train
2656,train
2657,train
2658,train
2659,train
2660,train
2661,train
2662,train
2663,train
2664,valid
2665,train
2666,train
2667,train
2668,train
2669,train
2670,test
2671,train
2672,valid
2673,train
2674,train
2675,train
2676,train
2677,train
2678,train
2679,valid
2680,train
2681,test
2682,train
2683,train
2684,train
2685,test
2686,train
2687,train
2688,train
2689,train
2690,train
2691,train
2692,train
2693,train
2694,train
2695,train
2696,train
2697,train
2698,train
2699,train
2700,train
2701,train
2702,train
2703,train
2704,train
2705,train
2706,train
2707,train
2708,train
2709,test
2710,train
2711,train
2712,train
2713,valid
2714,train
2715,test
2716,train
2717,train
2718,valid
2719,valid
2720,train
2721,test
2722,train
2723,train
2724,train
2725,train
2726,train
2727,train
2728,train
2729,valid
2730,train
2731,train
2732,train
2733,valid
2734,train
2735,test
2736,train
2737,valid
2738,test
2739,test
2740,train
2741,valid
2742,train
2743,test
2744,test
2745,test
2746,train
2747,train
2748,valid
2749,train
2750,train
2751,train
2752,train
2753,train
2754,train
2755,train
2756,train
2757,train
2758,train
2759,valid
2760,train
2761,train
2762,train
2763,train
2764,train
2765,train
2766,train
2767,test
2768,train
2769,train
2770,valid
2771,train
2772,train
2773,valid
2774,train
2775,train
2776,train
2777,train
2778,train
2779,valid
2780,train
2781,train
2782,valid
2783,train
2784,train
2785,train
2786,train
2787,valid
2788,train
2789,train
2790,valid
2791,valid
2792,train
2793,train
2794,train
2795,test
2796,train
2797,train
2798,train
2799,train
2800,train
2801,train
2802,valid
2803,valid
2804,train
2805,train
2806,test
2807,test
2808,train
2809,valid
2810,train
2811,train
2812,train
2813,train
2814,train
2815,test
2816,train
2817,train
2818,train
2819,train
2820,test
2821,valid
2822,train
2823,train
2824,valid
2825,train
2826,train
2827,train
2828,train
2829,train
2830,train
2831,train
2832,valid
2833,test
2834,train
2835,train
2836,train
2837,test
2838,valid
2839,test
2840,train
2841,train
2842,train
2843,train
2844,test
2845,train
2846,train
2847,train
2848,train
2849,train
2850,train
2851,train
2852,test
2853,valid
2854,train
2855,train
2856,train
2857,train
2858,train
2859,train
2860,test
2861,train
2862,test
2863,train
2864,train
2865,train
2866,valid
2867,test
2868,train
2869,train
2870,train
2871,train
2872,train
2873,train
2874,train
2875,train
2876,train
2877,train
2878,train
2879,train
2880,train
2881,train
2882,test
2883,train
2884,valid
2885,train
2886,train
2887,train
2888,train
2889,train
2890,train
2891,train
2892,train
2893,train
2894,train
2895,train
2896,train
2897,train
2898,train
2899,valid
2900,train
2901,test
2902,train
2903,valid
2904,train
2905,valid
2906,train
2907,train
2908,train
2909,train
2910,train
2911,train
2912,train
2913,train
2914,train
2915,train
2916,train
2917,train
2918,train
2919,train
2920,test
2921,train
2922,train
2923,train
2924,train
2925,train
2926,valid
2927,train
2928,train
2929,train
2930,train
2931,train
2932,test
2933,train
2934,valid
2935,train
